pH,ADC Counts,Voltage (V)
3.0,15901.195,2.981565
3.0,16567.11,3.106428
3.0,16695.205,3.130446
3.0,16728.785,3.136743
3.0,16744.5,3.13969
3.0,16749.465,3.140621
3.0,16750.26,3.14077
3.0,16756.005,3.141847
3.0,16748.375,3.140416
3.0,16755.225,3.141701
4.0,16140.95,3.02652
4.0,16202.685,3.038096
4.0,16196.405,3.036919
4.0,16203.465,3.038242
4.0,16209.895,3.039448
4.0,16215.29,3.04046
4.0,16219.53,3.041255
4.0,16222.305,3.041775
4.0,16225.84,3.042438
4.0,16228.25,3.04289
7.0,13448.175,2.52161
7.0,13432.805,2.518728
7.0,13444.565,2.520933
7.0,13447.855,2.52155
7.0,13452.105,2.522347
7.0,13454.26,2.522751
7.0,13454.83,2.522858
7.0,13459.42,2.523718
7.0,13460.36,2.523895
7.0,13461.905,2.524184
9.0,13662.615,2.561818
9.0,13675.24,2.564186
9.0,13724.515,2.573425
9.0,13792.8,2.586229
9.0,13827.69,2.592771
9.0,13847.725,2.596528
9.0,13872.175,2.601112
9.0,13892.175,2.604862
9.0,13920.905,2.610249
9.0,13932.77,2.612474
10.0,10985.885,2.059916
10.0,10818.425,2.028517
10.0,10751.905,2.016044
10.0,10727.825,2.011529
10.0,10718.93,2.009861
10.0,10714.62,2.009053
10.0,10713.49,2.008841
10.0,10712.575,2.008669
10.0,10713.245,2.008795
10.0,10712.865,2.008723
