Total Dissolved Solids (ppm),ADC Counts,Voltage (V)
100.0,1261,0.236445
100.0,1261,0.236445
100.0,1261,0.236445
100.0,1261,0.236445
100.0,1261,0.236445
100.0,1261,0.236445
100.0,1261,0.236445
100.0,1261,0.236445
100.0,1261,0.236445
100.0,1261,0.236445
250.0,3538,0.663395
250.0,3493,0.654957
250.0,3476,0.65177
250.0,3560,0.66752
250.0,3570,0.669395
250.0,3571,0.669583
250.0,3571,0.669583
250.0,3571,0.669583
250.0,3571,0.669583
250.0,3571,0.669583
400.0,6552,1.228537
400.0,6553,1.228725
400.0,6553,1.228725
400.0,6553,1.228725
400.0,6553,1.228725
400.0,6553,1.228725
400.0,6553,1.228725
400.0,6553,1.228725
400.0,6551,1.22835
400.0,6549,1.227975
